29-Cu-65(n,&gamma;) ENDF/B-VII.1
6172.05,0.061713
6172.43,0.0477006
6172.81,0.0373488
6173.19,0.0298837
6173.56,0.0246105
6173.94,0.020947
6174.32,0.0184301
6174.82,0.0162655
6175.45,0.0147076
6176.46,0.0134796
6177.46,0.0128791
6179.88,0.0122296
6184.7,0.0119228
6195.16,0.0123168
6219.7,0.0145024
6242.46,0.0175567
6261.01,0.0214466
6268.79,0.0240865
6274.63,0.0271607
6278.52,0.0304364
6281.44,0.0343471
6283.63,0.0390143
6285.45,0.0452814
6286.67,0.0519913
6287.64,0.0607241
6288.19,0.0684556
6288.73,0.080163
6289.19,0.0951149
6289.55,0.112487
6289.92,0.136974
6290.24,0.167337
6290.56,0.207364
6290.88,0.260771
6291.2,0.331227
6291.52,0.422896
6291.89,0.562656
6292.27,0.748832
6292.69,1.01253
6293.16,1.39248
6293.71,1.94089
6294.67,3.10396
6295.69,4.32905
6296.36,4.87182
6297.0,5.05962
6297.67,4.86157
6298.35,4.29839
6299.52,2.87556
6300.33,1.90688
6300.89,1.34967
6301.35,0.988023
6301.77,0.730303
6302.14,0.555029
6302.51,0.420128
6302.86,0.321209
6303.2,0.251433
6303.53,0.19946
6303.87,0.161212
6304.25,0.130394
6304.66,0.106921
6305.08,0.0911048
6305.5,0.0802892
6306.17,0.0692035
6306.84,0.0623476
6307.85,0.0558918
6309.52,0.049726
6310.86,0.046817
6313.54,0.0436378
6317.57,0.0420168
6318.91,0.0419328
6325.94,0.0434119
6337.67,0.0495185
6349.74,0.0592998
6361.8,0.0733359
6371.86,0.0895972
6381.91,0.112395
6390.54,0.139951
6397.91,0.172436
6404.45,0.211836
6410.48,0.261458
6416.09,0.324838
6421.46,0.408932
6425.98,0.506958
6430.5,0.642525
6434.52,0.8101
6438.04,1.00999
6441.65,1.28785
6445.0,1.63588
6448.72,2.14575
6456.98,3.51852
6459.54,3.77448
6461.16,3.83066
6463.88,3.69477
6467.51,3.16111
6473.69,2.10043
6477.22,1.62131
6480.76,1.25976
6484.06,1.00849
6487.83,0.796343
6491.74,0.636154
6496.06,0.507872
6500.64,0.408487
6506.04,0.323555
6511.88,0.257876
6518.18,0.207622
6525.78,0.163936
6533.62,0.131742
6541.46,0.108241
6551.8,0.0857932
6562.49,0.0694415
6570.61,0.0606464
6574.67,0.0581643
6576.19,0.0595082
6576.97,0.0627452
6577.53,0.0674956
6578.09,0.0756642
6578.65,0.0888841
6579.18,0.107914
6579.75,0.136962
6580.39,0.180942
6581.19,0.252743
6582.62,0.390576
6583.39,0.439267
6583.99,0.451763
6584.7,0.434153
6585.49,0.378894
6587.36,0.197339
6588.01,0.14602
6588.55,0.113817
6589.09,0.0900186
6589.5,0.0765602
6590.06,0.0640648
6590.62,0.0561385
6591.41,0.0498381
6592.42,0.0460125
6594.96,0.042421
6602.87,0.0371651
6617.62,0.030786
6635.7,0.0252343
6655.75,0.0207689
6675.6,0.0176815
6695.46,0.0152282
6728.2,0.0125585
6737.0,0.0122762
6741.8,0.0125967
6743.8,0.0133313
6744.8,0.0144709
6745.43,0.0159885
6745.95,0.0182158
6746.4,0.0212431
6746.85,0.0257916
6747.23,0.0311623
6747.6,0.0383801
6747.98,0.0478507
6748.39,0.0613262
6748.89,0.0824975
6749.45,0.112923
6750.3,0.170082
6751.48,0.253998
6752.2,0.291394
6752.89,0.306902
6753.0,0.307189
6753.64,0.296866
6754.32,0.265869
6755.4,0.191736
6756.37,0.123317
6756.97,0.0888416
6757.47,0.066116
6757.91,0.0506715
6758.35,0.0389485
6758.75,0.0309884
6759.15,0.0251585
6759.6,0.0205631
6760.1,0.0172184
6760.6,0.0151211
6761.2,0.0136193
6761.8,0.0127518
6763.3,0.0117395
6765.8,0.0110579
6773.0,0.0102478
6790.41,0.00939848
6819.64,0.00846456
6878.71,0.00734605
6943.7,0.0068905
6969.69,0.00707569
6983.4,0.00751577
6990.82,0.0081313
6995.11,0.00883648
6998.69,0.00987407
7001.55,0.0113349
7003.69,0.0132117
7005.12,0.0152204
7006.22,0.017604
7007.1,0.0206311
7007.76,0.0242966
7008.31,0.0291507
7008.76,0.0353086
7009.14,0.0426284
7009.51,0.0529613
7009.82,0.0647457
7010.13,0.0803669
7010.44,0.100923
7010.77,0.129747
7011.1,0.168349
7011.44,0.218316
7011.82,0.292152
7012.23,0.392552
7012.64,0.521469
7013.12,0.708206
7013.77,1.02036
7015.5,1.97327
7016.25,2.26388
7016.96,2.36974
7017.0,2.37011
7017.7,2.27538
7018.46,1.98842
7020.47,0.895518
7021.07,0.628627
7021.56,0.453438
7021.98,0.338426
7022.35,0.256862
7022.72,0.193402
7023.05,0.149843
7023.38,0.116256
7023.71,0.0907347
7024.04,0.0715843
7024.37,0.0573556
7024.74,0.0456706
7025.11,0.037497
7025.54,0.0310007
7025.96,0.0265363
7026.49,0.0227526
7027.23,0.0193693
7028.08,0.0169015
7029.15,0.0148312
7030.86,0.0126937
7033.0,0.011047
7035.43,0.00988794
7039.04,0.00887504
7043.38,0.00817616
7052.05,0.00752219
7057.83,0.00730402
7083.06,0.00703008
7133.5,0.00727298
7200.77,0.00813626
7268.04,0.00959133
7318.49,0.0112501
7368.94,0.0137046
7409.3,0.0166263
7439.57,0.0197804
7464.79,0.0234596
7490.01,0.0287426
7510.19,0.0349412
7527.85,0.0428411
7540.46,0.0508907
7552.87,0.0620144
7562.12,0.0735752
7571.15,0.0891786
7579.56,0.109673
7586.71,0.13426
7593.44,0.166909
7599.32,0.207265
7604.37,0.255234
7609.41,0.32169
7614.14,0.408451
7618.75,0.52453
7623.37,0.679998
7633.12,1.07602
7635.65,1.14388
7638.34,1.17218
7641.7,1.135
7646.32,0.981802
7654.65,0.643469
7659.23,0.500891
7663.96,0.392503
7668.48,0.317688
7673.52,0.257752
7678.57,0.214973
7684.25,0.180668
7689.92,0.156275
7698.12,0.132472
7706.53,0.117122
7713.92,0.108658
7724.51,0.101842
7735.93,0.0995411
7749.72,0.102012
7764.12,0.109708
7778.83,0.122999
7795.99,0.146721
7810.69,0.176397
7825.4,0.21831
7837.66,0.266446
7849.91,0.331345
7862.17,0.418701
7875.65,0.546769
7903.35,0.878795
7913.16,0.955661
7919.04,0.970646
7927.86,0.942759
7940.36,0.821922
7964.39,0.529203
7977.5,0.406084
7989.63,0.320131
8001.89,0.255257
8014.15,0.206721
8028.85,0.163771
8043.56,0.132393
8060.72,0.105651
8080.33,0.0837382
8099.94,0.0679045
8122.0,0.0548777
8146.52,0.0443444
8171.03,0.0366006
8200.44,0.0297094
8234.76,0.0238975
8273.98,0.0191855
8313.2,0.0158332
8342.62,0.014078
8362.22,0.0134354
8372.03,0.0133461
8381.83,0.0139543
8387.96,0.0152161
8391.64,0.0169128
8394.57,0.0194686
8396.53,0.0224391
8397.99,0.0261003
8398.97,0.0300232
8399.64,0.0341535
8400.28,0.0401716
8400.83,0.0481502
8401.29,0.0580462
8401.7,0.0707582
8402.11,0.0886145
8402.51,0.1125
8402.88,0.142294
8403.24,0.181653
8403.61,0.232939
8403.98,0.298734
8404.39,0.393379
8404.85,0.528271
8405.35,0.717075
8405.93,0.98926
8406.72,1.44652
8408.41,2.49796
8409.2,2.84145
8409.97,2.96628
8410.0,2.96646
8410.77,2.84963
8411.54,2.52697
8412.86,1.71331
8413.83,1.11747
8414.47,0.796631
8415.02,0.575214
8415.48,0.428478
8415.89,0.326054
8416.31,0.24651
8416.67,0.192747
8417.07,0.147323
8417.45,0.114627
8417.8,0.092585
8418.19,0.0743689
8418.57,0.0611059
8419.04,0.0498597
8419.47,0.0425928
8420.07,0.0356863
8420.79,0.030389
8421.75,0.0259547
8422.96,0.0224309
8424.57,0.019363
8426.63,0.0168439
8429.45,0.0146959
8433.23,0.0129686
8437.77,0.0117255
8446.53,0.010392
8458.0,0.00946776
8488.14,0.0081583
8528.82,0.00701971
8593.9,0.00574916
8648.14,0.00499749
8713.22,0.00424518
8820.14,0.00340182
8900.68,0.00294616
8981.23,0.00261982
9041.64,0.00250303
9071.85,0.00255965
9091.99,0.00269935
9107.09,0.00297798
9117.16,0.00333455
9123.98,0.00376412
9129.34,0.00431344
9133.8,0.00503671
9137.38,0.00592998
9140.5,0.00712484
9142.73,0.0083853
9144.78,0.0100404
9146.5,0.0120562
9147.93,0.0144633
9149.18,0.0174829
9150.13,0.0209053
9150.9,0.0249856
9151.52,0.0299474
9152.0,0.0354836
9152.48,0.0434041
9152.88,0.0527127
9153.28,0.0655558
9153.67,0.0832959
9154.06,0.106571
9154.45,0.138697
9154.84,0.181773
9155.23,0.238716
9155.62,0.312762
9156.06,0.420455
9156.54,0.572794
9157.02,0.769848
9157.6,1.06068
9158.3,1.49735
9160.26,2.90029
9161.13,3.34073
9161.92,3.50011
9162.0,3.50127
9162.79,3.36456
9163.58,2.98896
9164.93,2.0408
9165.97,1.31627
9166.66,0.919993
9167.22,0.661497
9167.7,0.489828
9168.14,0.366646
9168.55,0.277805
9168.94,0.211843
9169.33,0.161497
9169.72,0.123663
9170.11,0.0955991
9170.48,0.0757126
9170.88,0.0602181
9171.28,0.0490079
9171.68,0.0408712
9172.16,0.0339196
9172.72,0.028356
9173.39,0.0238727
9174.28,0.0199462
9175.4,0.016726
9176.67,0.0142318
9178.2,0.0121757
9180.12,0.0104635
9182.41,0.00917302
9184.9,0.00836826
9187.38,0.00798771
9189.03,0.0079248
9191.54,0.00810164
9194.67,0.00883841
9197.17,0.00998719
9199.35,0.0116145
9201.13,0.0136557
9202.61,0.0161615
9203.8,0.0190504
9204.79,0.0225184
9205.58,0.0265766
9206.28,0.0318814
9206.77,0.0374135
9207.23,0.0446926
9207.7,0.0550703
9208.09,0.0675608
9208.49,0.0847346
9208.88,0.108303
9209.28,0.140434
9209.67,0.183796
9210.07,0.241533
9210.47,0.317203
9210.87,0.416899
9211.32,0.560775
9211.82,0.761983
9212.38,1.05105
9213.04,1.47395
9214.23,2.39883
9215.42,3.30236
9216.21,3.71145
9217.0,3.85786
9217.79,3.70786
9218.58,3.29604
9219.93,2.26165
9220.96,1.46747
9221.62,1.04584
9222.18,0.757868
9222.68,0.557543
9223.13,0.414352
9223.53,0.315162
9223.93,0.239886
9224.33,0.182453
9224.72,0.139317
9225.12,0.107346
9225.51,0.0838877
9225.91,0.0667845
9226.3,0.0543353
9226.77,0.0439802
9227.28,0.0360606
9227.86,0.029967
9228.52,0.0252246
9229.34,0.0211757
9230.36,0.0177169
9231.75,0.0144899
9233.37,0.0119024
9235.18,0.00987854
9237.36,0.00818616
9239.73,0.00689657
9242.54,0.00582973
9245.9,0.00494516
9250.23,0.00418105
9255.42,0.00357922
9262.69,0.00305529
9269.72,0.0027237
9284.55,0.00231507
9297.74,0.002103
9310.92,0.00196338
9337.29,0.00178515
9363.66,0.0016711
9416.41,0.00152309
9507.94,0.00137095
9585.51,0.00129131
9643.69,0.00126026
9701.86,0.00130575
9730.95,0.00140732
9747.92,0.00151911
9762.47,0.00169776
9772.5,0.00190064
9782.18,0.00219666
9789.09,0.00253095
9795.74,0.00301665
9801.18,0.00361887
9805.45,0.00431158
9809.52,0.00527476
9813.02,0.00648675
9815.93,0.00795022
9818.26,0.00960338
9820.39,0.0117181
9822.43,0.0145929
9824.18,0.018147
9825.64,0.0223962
9826.8,0.0272344
9827.75,0.0328254
9828.6,0.0401521
9829.28,0.0488398
9829.87,0.0599844
9830.35,0.0729603
9830.84,0.0911598
9831.26,0.113156
9831.69,0.142935
9832.11,0.183062
9832.53,0.2349
9832.96,0.307325
9833.4,0.402073
9833.86,0.531324
9834.37,0.71507
9834.95,0.984121
9835.65,1.39053
9836.64,2.11219
9838.12,3.25237
9839.07,3.78512
9839.92,3.97678
9840.01,3.97835
9840.85,3.8194
9841.75,3.3519
9844.17,1.51851
9844.9,1.06859
9845.47,0.78816
9845.99,0.583644
9846.45,0.442947
9846.89,0.338988
9847.33,0.258984
9847.76,0.198474
9848.19,0.154436
9848.61,0.121668
9849.04,0.0974354
9849.52,0.0773975
9850.0,0.0634514
9850.51,0.0526649
9851.16,0.0430076
9851.89,0.0356823
9852.69,0.0300314
9853.78,0.0246133
9855.09,0.0200736
9856.5,0.0165891
9858.2,0.0135589
9860.09,0.0111381
9862.47,0.00898727
9864.85,0.00746191
9867.76,0.00612684
9871.16,0.00503285
9875.33,0.0041065
9880.08,0.00339069
9885.62,0.00282617
9892.02,0.00238565
9898.43,0.00208267
9907.32,0.00180095
9917.44,0.00158145
9930.95,0.00139385
9954.58,0.00120696
9981.58,0.00109389
10008.6,0.00101781
10044.6,9.55286E-4
10152.6,8.54567E-4
10332.7,7.64307E-4
10616.5,6.88116E-4
10878.4,6.60898E-4
10999.0,6.80028E-4
11044.2,7.181E-4
11066.9,7.657E-4
11084.0,8.38771E-4
11095.4,9.27914E-4
11103.4,0.00103346
11110.2,0.00117795
11115.8,0.00136913
11120.3,0.00160634
11124.3,0.00192786
11127.1,0.00226949
11129.6,0.00270029
11132.0,0.00330048
11134.0,0.00402623
11135.5,0.00484376
11136.8,0.00581739
11137.8,0.00695184
11138.7,0.0083726
11139.4,0.0101052
11139.9,0.0120113
11140.4,0.014755
11140.8,0.018251
11141.3,0.0228419
11141.6,0.0280002
11142.0,0.0347564
11142.3,0.043562
11142.7,0.0549598
11143.1,0.0712386
11143.5,0.0928125
11143.9,0.120534
11144.3,0.160563
11144.8,0.216113
11145.3,0.284016
11145.8,0.389358
11146.6,0.54967
11147.6,0.834981
11149.0,1.24069
11149.9,1.43518
11150.8,1.52439
11151.0,1.52934
11151.8,1.47637
11152.6,1.3339
11153.8,1.00959
11155.3,0.596056
11156.0,0.427295
11156.6,0.304782
11157.1,0.223356
11157.6,0.16773
11158.0,0.127881
11158.5,0.0954032
11158.9,0.0739453
11159.3,0.0573078
11159.6,0.0445631
