Energy N
0.82125 3
0.8225 4
0.82375 0
0.825 0
0.82625 3
0.8275 5
0.82875 3
0.83 2
0.83125 2
0.8325 6
0.83375 16
0.835 3
0.83625 5
0.8375 2
0.83875 6
0.84 4
0.84125 2
0.8425 1
0.84375 2
0.845 0
0.84625 4
0.8475 1
0.84875 5
0.85 1
0.85125 0
0.8525 3
0.85375 5
0.855 4
0.85625 5
0.8575 2
0.85875 3
0.86 6
0.86125 1
0.8625 1
0.86375 1
0.865 1
0.86625 7
0.8675 1
0.86875 3
0.87 5
0.87125 2
0.8725 3
0.87375 2
0.875 0
0.87625 1
0.8775 3
0.87875 0
0.88 2
0.88125 1
0.8825 2
0.88375 1
0.885 2
0.88625 1
0.8875 2
0.88875 1
0.89 3
0.89125 1
0.8925 1
0.89375 1
0.895 4
0.89625 1
0.8975 4
0.89875 0
0.9 0
0.90125 0
0.9025 1
0.90375 0
0.905 2
0.90625 4
0.9075 1
0.90875 1
0.91 0
0.91125 2
0.9125 6
0.91375 3
0.915 5
0.91625 1
0.9175 6
0.91875 0
0.92 2
0.92125 1
0.9225 0
0.92375 2
0.925 3
0.92625 0
0.9275 4
0.92875 3
0.93 0
0.93125 7
0.9325 0
0.93375 3
0.935 0
0.93625 4
0.9375 4
0.93875 3
0.94 1
0.94125 0
0.9425 1
0.94375 2
0.945 2
0.94625 2
0.9475 3
0.94875 3
0.95 1
0.95125 5
0.9525 0
0.95375 4
0.955 1
0.95625 3
0.9575 7
0.95875 3
0.96 0
0.96125 2
0.9625 2
0.96375 0
0.965 0
0.96625 4
0.9675 2
0.96875 0
0.97 2
0.97125 7
0.9725 3
0.97375 1
0.975 4
0.97625 4
0.9775 2
0.97875 1
0.98 5
0.98125 0
0.9825 0
0.98375 2
0.985 5
0.98625 5
0.9875 1
0.98875 4
0.99 2
0.99125 0
0.9925 1
0.99375 0
0.995 3
0.99625 0
0.9975 1
0.99875 4
1 0
1.00125 2
1.0025 2
1.00375 0
1.005 0
1.00625 0
1.0075 3
1.00875 2
1.01 3
1.01125 0
1.0125 3
1.01375 0
1.015 4
1.01625 6
1.0175 0
1.01875 2
1.02 2
1.02125 0
1.0225 0
1.02375 2
1.025 3
1.02625 5
1.0275 2
1.02875 0
1.03 0
1.03125 1
1.0325 3
1.03375 1
1.035 0
1.03625 1
1.0375 3
1.03875 9
1.04 2
1.04125 0
1.0425 0
1.04375 3
1.045 0
1.04625 2
1.0475 0
1.04875 2
1.05 3
1.05125 2
1.0525 2
1.05375 4
1.055 2
1.05625 2
1.0575 3
1.05875 3
1.06 0
1.06125 3
1.0625 0
1.06375 3
1.065 0
1.06625 2
1.0675 0
1.06875 0
1.07 2
1.07125 0
1.0725 0
1.07375 0
1.075 2
1.07625 1
1.0775 2
1.07875 1
1.08 3
1.08125 4
1.0825 3
1.08375 5
1.085 3
1.08625 0
1.0875 0
1.08875 0
1.09 0
1.09125 1
1.0925 1
1.09375 2
1.095 1
1.09625 0
1.0975 7
1.09875 2
1.1 1
1.10125 0
1.1025 0
1.10375 3
1.105 2
1.10625 0
1.1075 2
1.10875 1
1.11 1
1.11125 4
1.1125 0
1.11375 3
1.115 2
1.11625 1
1.1175 2
1.11875 1
1.12 1
1.12125 1
1.1225 3
1.12375 1
1.125 1
1.12625 3
1.1275 2
1.12875 0
1.13 1
1.13125 2
1.1325 0
1.13375 3
1.135 0
1.13625 2
1.1375 2
1.13875 2
1.14 0
1.14125 1
1.1425 2
1.14375 4
1.145 2
1.14625 0
1.1475 0
1.14875 2
1.15 1
1.15125 0
1.1525 2
1.15375 2
1.155 2
1.15625 0
1.1575 4
1.15875 2
1.16 2
1.16125 0
1.1625 1
1.16375 3
1.165 0
1.16625 0
1.1675 2
1.16875 1
1.17 1
1.17125 4
1.1725 0
1.17375 0
1.175 5
1.17625 2
1.1775 0
1.17875 2
1.18 0
1.18125 2
1.1825 0
1.18375 1
1.185 0
1.18625 1
1.1875 4
1.18875 4
1.19 3
1.19125 3
1.1925 0
1.19375 3
1.195 0
1.19625 0
1.1975 1
1.19875 3
1.2 3
1.20125 2
1.2025 4
1.20375 3
1.205 1
1.20625 0
1.2075 3
1.20875 1
1.21 0
1.21125 0
1.2125 4
1.21375 1
1.215 2
1.21625 1
1.2175 2
1.21875 1
1.22 1
1.22125 3
1.2225 0
1.22375 4
1.225 1
1.22625 3
1.2275 0
1.22875 0
1.23 0
1.23125 0
1.2325 2
1.23375 0
1.235 1
1.23625 1
1.2375 4
1.23875 0
1.24 1
1.24125 0
1.2425 2
1.24375 0
1.245 2
1.24625 1
1.2475 0
1.24875 0
1.25 3
1.25125 5
1.2525 0
1.25375 0
1.255 1
1.25625 3
1.2575 0
1.25875 0
1.26 2
1.26125 0
1.2625 2
1.26375 2
1.265 2
1.26625 0
1.2675 1
1.26875 1
1.27 2
1.27125 0
1.2725 3
1.27375 0
1.275 2
1.27625 0
1.2775 3
1.27875 2
1.28 0
1.28125 1
1.2825 2
1.28375 5
1.285 0
1.28625 2
1.2875 2
1.28875 1
1.29 2
1.29125 2
1.2925 0
1.29375 0
1.295 0
1.29625 0
1.2975 2
1.29875 3
1.3 1
1.30125 1
1.3025 3
1.30375 0
1.305 3
1.30625 0
1.3075 2
1.30875 3
1.31 3
1.31125 5
1.3125 3
1.31375 3
1.315 0
1.31625 0
1.3175 3
1.31875 1
1.32 0
1.32125 0
1.3225 0
1.32375 0
1.325 3
1.32625 3
1.3275 0
1.32875 1
1.33 2
1.33125 0
1.3325 0
1.33375 0
1.335 1
1.33625 0
1.3375 3
1.33875 1
1.34 0
1.34125 1
1.3425 2
1.34375 0
1.345 0
1.34625 7
1.3475 4
1.34875 2
1.35 0
1.35125 0
1.3525 3
1.35375 0
1.355 0
1.35625 5
1.3575 0
1.35875 2
1.36 3
1.36125 0
1.3625 3
1.36375 3
1.365 1
1.36625 2
1.3675 1
1.36875 1
1.37 2
1.37125 0
1.3725 2
1.37375 4
1.375 2
1.37625 2
1.3775 0
1.37875 0
1.38 1
1.38125 0
1.3825 1
1.38375 0
1.385 3
1.38625 0
1.3875 0
1.38875 2
1.39 2
1.39125 3
1.3925 1
1.39375 2
1.395 0
1.39625 1
1.3975 0
1.39875 2
1.4 2
1.40125 0
1.4025 0
1.40375 0
1.405 0
1.40625 2
1.4075 3
1.40875 0
1.41 0
1.41125 3
1.4125 1
1.41375 0
1.415 1
1.41625 0
1.4175 0
1.41875 2
1.42 0
1.42125 2
1.4225 0
1.42375 1
1.425 3
1.42625 1
1.4275 0
1.42875 3
1.43 0
1.43125 0
1.4325 1
1.43375 0
1.435 0
1.43625 0
1.4375 3
1.43875 0
1.44 3
1.44125 0
1.4425 1
1.44375 2
1.445 1
1.44625 1
1.4475 0
1.44875 3
1.45 2
1.45125 1
1.4525 2
1.45375 3
1.455 0
1.45625 1
1.4575 0
1.45875 2
1.46 0
1.46125 2
1.4625 0
1.46375 2
1.465 0
1.46625 0
1.4675 1
1.46875 1
1.47 0
1.47125 3
1.4725 0
1.47375 1
1.475 0
1.47625 4
1.4775 1
1.47875 4
1.48 0
1.48125 1
1.4825 0
1.48375 1
1.485 2
1.48625 2
1.4875 2
1.48875 1
1.49 0
1.49125 3
1.4925 3
1.49375 1
1.495 4
1.49625 3
1.4975 1
1.49875 1
1.5 0
1.50125 0
1.5025 0
1.50375 4
1.505 3
1.50625 1
1.5075 1
1.50875 3
1.51 1
1.51125 0
1.5125 2
1.51375 0
1.515 1
1.51625 3
1.5175 2
1.51875 2
1.52 0
